author_name,quote_text,quote_furigana,category_name
ハワード・ダナ・ワイト,成功は降って湧いてくるものではない。毎日外に出て戦い続けることが必要だ。,せいこうはふってわいてくるものではない。まいにちそとにでてたたかいつづけることがひつようだ。,成功
ハワード・ダナ・ワイト,正確に何をしたいかを知っているところに私は幸運があった。,せいかくになにをしたいかをしっているところにわたしはこううんがあった。,目標設定
ハワード・ダナ・ワイト,人々ができないと言うことをやるのが大好きだ。,ひとびとができないということをやるのがだいすきだ。,挑戦
ハワード・ダナ・ワイト,失敗しても諦めず、何度も立ち上がり続ける人こそが真の戦士だ。,しっぱいしてもあきらめず、なんどもたちあがりつづけるひとこそがしんのせんしだ。,逆境
ハワード・ダナ・ワイト,私は忠実な人間だ。人生で良くしてくれた人々を忘れず、彼らの側に立つ。,わたしはちゅうじつなにんげんだ。じんせいでよくしてくれたひとびとをわすれず、かれらのそばにたつ。,信頼
ハワード・ダナ・ワイト,格闘技は個人のスポーツだ。チームスポーツではない。,かくとうぎはこじんのすぽーつだ。ちーむすぽーつではない。,勝利
ハワード・ダナ・ワイト,私は自分が望むことを正確に行った男だ。そうすれば、お金は後からついてくる。,わたしはじぶんがのぞむことをせいかくにおこなったおとこだ。そうすれば、おかねはあとからついてくる。,成功
ハワード・ダナ・ワイト,アメリカでは、誰でも自分の信念に基づいて行動できる。,あめりかでは、だれでもじぶんのしんねんにもとづいてこうどうできる。,希望
ハワード・ダナ・ワイト,私は生涯を通じて格闘技ビジネスに携わってきた。ファイターを知っている。,わたしはしょうがいをつうじてかくとうぎびじねすにたずさわってきた。ふぁいたーをしっている。,リーダーシップ
ハワード・ダナ・ワイト,人生は困難だ。だからこそ、私は厳しい言葉を使うことがある。,じんせいはこんなんだ。だからこそ、わたしはきびしいことばをつかうことがある。,哲学
ハワード・ダナ・ワイト,私の遺産について語るなら、子供たちに素晴らしい父親だったと言われたい。,わたしのいさんについてかたるなら、こどもたちにすばらしいちちおやだったといわれたい。,家族
ハワード・ダナ・ワイト,情熱を持っているものを見つけて、それでお金を稼ぐ方法を考えるべきだ。,じょうねつをもっているものをみつけて、それでおかねをかせぐほうほうをかんがえるべきだ。,起業
ハワード・ダナ・ワイト,怪我をしていることを誰にも知られてはいけない。,けがをしていることをだれにもしられてはいけない。,忍耐
ハワード・ダナ・ワイト,私は以前にも間違いを犯したし、また間違いを犯すだろう。,わたしはいぜんにもまちがいをおかしたし、またまちがいをおかすだろう。,学び
ハワード・ダナ・ワイト,私は毎日大量の否定的な意見を聞く。しかし、それは無視して自分のビジョンに集中する。,わたしはまいにちたいりょうのひていてきないけんをきく。しかし、それはむししてじぶんのびじょんにしゅうちゅうする。,目標設定
ハワード・ダナ・ワイト,ファイターは強制して戦わせることはできない。,ふぁいたーはきょうせいしてたたかわせることはできない。,リーダーシップ
ハワード・ダナ・ワイト,私は勇気があると言われたい。,わたしはゆうきがあるといわれたい。,挑戦
アーリ・エマニュエル,私たちはリスクを取ることが報われる文化を築いた。,わたしたちはりすくをとることがむくわれるぶんかをきずいた。,リーダーシップ
アーリ・エマニュエル,私は非常に攻撃的な性格だ。,わたしはひじょうにこうげきてきなせいかくだ。,挑戦
アーリ・エマニュエル,失読症の人々は、他の人が見つけられない革新的な解決策を見つける洞察力を与えられている。,しつどくしょうのひとびとは、ほかのひとがみつけられないかくしんてきなかいけつさくをみつけるどうさつりょくをあたえられている。,創造性
アーリ・エマニュエル,親が子どもに与えることができる最も重要な二つのものは、愛と良い教育だ。,おやがこどもにあたえることができるもっともじゅうようなふたつのものは、あいとよいきょういくだ。,教養
アーリ・エマニュエル,私たちはコンテンツを非常に広い意味で定義している。,わたしたちはこんてんつをひじょうにひろいいみでていぎしている。,表現
アーリ・エマニュエル,光が消える前に問題に対処することが重要だ。,ひかりがきえるまえにもんだいにたいしょすることがじゅうようだ。,希望
アーリ・エマニュエル,統合型エンターテインメント企業として、新しいビジネスモデルを創造している。,とうごうがたえんたーていんめんときぎょうとして、あたらしいびじねすもでるをそうぞうしている。,技術革新
アーリ・エマニュエル,私は自分のシステムから抜け出すことができない。,わたしはじぶんのしすてむからぬけだすことができない。,哲学
アーリ・エマニュエル,エンターテインメント業界は実際のビジネスとして扱われていない。,えんたーていんめんとぎょうかいはじっさいのびじねすとしてあつかわれていない。,起業
アーリ・エマニュエル,私は読み上げることに恐ろしい困難を抱えている。,わたしはよみあげることにおそろしいこんなんをかかえている。,学び
アーリ・エマニュエル,夜明け前に起きて読書をする。,よあけまえにおきてどくしょをする。,努力
アーリ・エマニュエル,私は毎日多くの戦いに身を投じ、校長室に通っていた。,わたしはまいにちおおくのたたかいにみをとうじ、こうちょうしつにかよっていた。,逆境
アーリ・エマニュエル,自分自身を守るために立ち上がることを学んだ。,じぶんじしんをまもるためにたちあがることをまなんだ。,挑戦
アーリ・エマニュエル,才能のあるエージェントの生産性を高めるためのリーダーシップ戦略を実施した。,さいのうのあるえーじぇんとのせいさんせいをたかめるためのりーだーしっぷせんりゃくをじっしした。,リーダーシップ
アーリ・エマニュエル,統合により相乗効果を生み出すことができる。,とうごうによりそうじょうこうかをうみだすことができる。,効率化
アーリ・エマニュエル,私たちは二つの主要なスポーツ・エンターテインメント企業を統合している。,わたしたちはふたつのしゅようなすぽーつ・えんたーていんめんときぎょうをとうごうしている。,チームワーク
ボブ・アイガー,最もリスクの高いことは、現状維持をすることだ。,もっともりすくのたかいことは、げんじょういじをすることだ。,挑戦
ボブ・アイガー,創造性には科学は存在しない。失敗の余地を与えなければ、革新は起こらない。,そうぞうせいにはかがくはそんざいしない。しっぱいのよちをあたえなければ、かくしんはおこらない。,創造性
ボブ・アイガー,楽観主義はリーダーシップの重要な要素だ。,らっかんしゅぎはりーだーしっぷのじゅうようなようそだ。,リーダーシップ
ボブ・アイガー,真の権威と真のリーダーシップは、自分が何者かを知り、それ以外の何者でもないことから生まれる。,しんのけんいとしんのりーだーしっぷは、じぶんがなにものかをしり、それいがいのなにものでもないことからうまれる。,リーダーシップ
ボブ・アイガー,安全にプレイするビジネスではなく、偉大さの可能性を創造するビジネスにいるべきだ。,あんぜんにぷれいするびじねすではなく、いだいさのかのうせいをそうぞうするびじねすにいるべきだ。,起業
ボブ・アイガー,会社の心と魂は創造性と革新だ。,かいしゃのこころとたましいはそうぞうせいとかくしんだ。,創造性
ボブ・アイガー,尊敬と共感をもって人々に接すれば、不可能に思えることが現実になる。,そんけいときょうかんをもってひとびとにせっすれば、ふかのうにおもえることがげんじつになる。,信頼
ボブ・アイガー,慢性的な優柔不断は非効率で非生産的なだけでなく、士気を深く蝕む。,まんせいてきなゆうじゅうふだんはひこうりつでひせいさんてきなだけでなく、しきをふかくむしばむ。,効率化
ボブ・アイガー,否定的にスタートせず、小さくスタートもしない。,ひていてきにすたーとせず、ちいさくすたーともしない。,目標設定
ボブ・アイガー,大きな挑戦を避ける人々は、成功の第一歩を踏み出す前に可能性を査定しすぎる。,おおきなちょうせんをさけるひとびとは、せいこうのだいいっぽをふみだすまえにかのうせいをさていしすぎる。,挑戦
ボブ・アイガー,悪いニュースは解決できる問題として捉え、自分にコントロールできるものと考える。,わるいにゅーすはかいけつできるもんだいとしてとらえ、じぶんにこんとろーるできるものとかんがえる。,逆境
ボブ・アイガー,理解していないことを謝罪なく認め、できるだけ早く学ぶための努力をする。,りかいしていないことをしゃざいなくみとめ、できるだけはやくまなぶためのどりょくをする。,学び
ボブ・アイガー,物事を作るビジネスにいるなら、素晴らしいものを作るビジネスにいるべきだ。,ものごとをつくるびじねすにいるなら、すばらしいものをつくるびじねすにいるべきだ。,創造性
ボブ・アイガー,やっていることすべてに満足しているなら、十分に自分を追い込んでいない。,やっていることすべてにまんぞくしているなら、じゅうぶんにじぶんをおいこんでいない。,成功
ボブ・アイガー,人々は今でも良いストーリーを愛している。それは変わることはない。,ひとびとはいまでもよいすとーりーをあいしている。それはかわることはない。,文学
ボブ・アイガー,常にフィードバックを受け入れ、方向修正を喜んで行う。,つねにふぃーどばっくをうけいれ、ほうこうしゅうせいをよろこんでおこなう。,学び
ボブ・アイガー,決断を下すたびに学習し、そこから成長する。,けつだんをくだすたびにがくしゅうし、そこからせいちょうする。,進歩
テッド・サランドス,私たちは消費者重視の会社だ。人々が望む方法でコンテンツを提供する。,わたしたちはしょうひしゃじゅうしのかいしゃだ。ひとびとがのぞむほうほうでこんてんつをていきょうする。,効率化
テッド・サランドス,コンテンツこそが王様だ。,こんてんつこそがおうさまだ。,創造性
テッド・サランドス,テレビビジネスは管理された不満に基づいている。,てれびびじねすはかんりされたふまんにもとづいている。,技術革新
テッド・サランドス,映画は世界に向けて作るほど、どの国のためにも作らなくなる。,えいがはせかいにむけてつくるほど、どのくにのためにもつくらなくなる。,表現
テッド・サランドス,私は人生で楽観主義者だ。,わたしはじんせいでらっかんしゅぎしゃだ。,幸福
テッド・サランドス,何事も実行次第だ。人生で実行に依存しないものなど存在しない。,なにごともじっこうしだいだ。じんせいでじっこうにいそんしないものなどそんざいしない。,目標達成
